user_id,product_id,rating,timestamp
U0001,P0234,4,2025-06-30 00:00:00
U0001,P0212,5,2024-11-05 00:00:00
U0001,P0425,4,2025-02-08 00:00:00
U0001,P0491,4,2024-12-12 00:00:00
U0001,P0204,2,2024-07-01 00:00:00
U0001,P0163,4,2025-12-30 00:00:00
U0001,P0060,4,2025-06-04 00:00:00
U0001,P0313,3,2025-09-06 00:00:00
U0001,P0459,2,2024-02-08 00:00:00
U0001,P0188,5,2025-01-07 00:00:00
U0001,P0142,1,2025-09-20 00:00:00
U0001,P0417,5,2024-04-09 00:00:00
U0001,P0043,3,2024-12-18 00:00:00
U0001,P0396,5,2025-03-10 00:00:00
U0001,P0466,2,2024-08-25 00:00:00
U0001,P0161,3,2024-03-16 00:00:00
U0001,P0024,4,2024-06-02 00:00:00
U0001,P0299,3,2025-12-16 00:00:00
U0001,P0277,3,2025-03-21 00:00:00
U0001,P0315,4,2025-11-08 00:00:00
U0001,P0428,4,2024-05-08 00:00:00
U0001,P0241,2,2025-02-16 00:00:00
U0001,P0444,5,2024-02-21 00:00:00
U0001,P0069,4,2025-03-19 00:00:00
U0001,P0304,3,2025-10-06 00:00:00
U0001,P0031,5,2025-04-24 00:00:00
U0001,P0133,5,2025-06-30 00:00:00
U0001,P0333,4,2025-03-21 00:00:00
U0001,P0071,4,2024-07-22 00:00:00
U0001,P0370,3,2025-09-02 00:00:00
U0001,P0388,3,2024-03-17 00:00:00
U0001,P0039,5,2025-10-21 00:00:00
U0001,P0339,4,2024-08-28 00:00:00
U0002,P0018,5,2024-07-17 00:00:00
U0002,P0278,2,2025-04-05 00:00:00
U0002,P0103,5,2025-06-24 00:00:00
U0002,P0321,5,2025-07-05 00:00:00
U0002,P0029,4,2025-06-27 00:00:00
U0002,P0374,4,2024-05-30 00:00:00
U0002,P0026,4,2024-10-26 00:00:00
U0002,P0194,3,2025-09-12 00:00:00
U0002,P0361,3,2024-07-18 00:00:00
U0002,P0126,3,2024-01-05 00:00:00
U0002,P0414,5,2024-11-02 00:00:00
U0002,P0116,2,2025-09-23 00:00:00
U0002,P0286,1,2025-07-06 00:00:00
U0002,P0463,2,2025-11-06 00:00:00
U0002,P0468,2,2025-02-24 00:00:00
U0002,P0424,3,2025-09-17 00:00:00
U0002,P0277,4,2024-09-07 00:00:00
U0002,P0180,4,2025-01-25 00:00:00
U0002,P0331,1,2024-06-30 00:00:00
U0002,P0330,4,2024-02-20 00:00:00
